Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
308,1373,0.4211,0.2384,4.659,0.062,0.0304,111,0.198006,0.59919,0.196132,0.019689,0.01969,14394,3629,0,4130,0,1.54,19.3,22016,380.03,1612,0.003,0.108,0.052,0.01,0.023,7.5,45.5
301,1419,0.5061,0.24,4.8802,0.0582,0.0228,111,0.193873,0.639933,0.179513,0.018339,0.018015,14410,2937,0,4067,0,1.505,35.53,21963,373.68,1679,0.004,0.091,0.042,0.009,0.019,6.6,49
299,1395,0.68,0.29,4.6,0.062,0.018,111,0.197011,0.643679,0.184705,0.018775,0.01845,16380,3692,0,3992,0,1.495,19.28,21268,371.87,1649,0.004,0.09,0.043,0.012,0.019,6.5,57.8
302,1375,0.49,0.25,4.7,0.062,0.026,111,0.176722,0.575103,0.163595,0.017115,0.01712,20024,3342,0,4105,0,1.51,19.75,22174,374.59,1602,0.003,0.063,0.07,0.004,0.018,6.6,48.9
302,1418,0.67,0.27,4.57,0.057,0.021,111,0.189607,0.589527,0.184614,0.018843,0.018843,16029,5207,0,4137,0,1.51,18.62,20801,374.59,1629,0.005,0.092,0.075,0.015,0.032,6.8,57.8
301,1412,0.46,0.23,4.87,0.054,0.024,112,0.186378,0.586932,0.176307,0.018036,0.018044,14028,1251,0,4158,0,1.505,18.22,20496,374.59,1634,0.005,0.071,0.055,0.011,0.035,6.6,46.4
303,1372,0.36,0.24,4.43,0.062,0.034,112,0.308907,0.577074,0.475264,0.023248,0.019499,14008,2579,0,4166,0,1.515,18.48,20858,376.41,1619,0.004,0.077,0.068,0.01,0.027,9.1,44.1
295,1408,0.74,0.29,4.49,0.059,0.02,111,0.196442,0.596587,0.193811,0.019487,0.019489,16034,3440,0,4166,0,1.475,18.75,20989,368.24,1656,0.003,0.08,0.054,0.017,0.033,6.4,60.2
300,1422,0.44,0.2323,4.6403,0.0557,0.0225,105,0.19897,0.599011,0.198208,0.019851,0.019852,16028,1809,0,4177,0,1.5,18.05,20303,367.34,1680,0.003,0.074,0.044,0.013,0.022,6.4,44.7
300,1395,0.645,0.28,4.705,0.059,0.022,111,0.336154,0.545473,0.564201,0.022121,0.016722,14010,1950,0,4165,0,1.5,18.92,21222,372.78,1656,0.004,0.102,0.085,0.014,0.028,6.9,58.2
